Country,RI
Afghanistan,0.77
Albania,0.517
Algeria,0.547
Angola,0.568
Argentina,0.465
Armenia,0.556
Australia,0.325
Austria,0.293
Azerbaijan,0.559
Bahrain,0.507
Bangladesh,0.611
Barbados,0.426
Belarus,0.518
Belgium & Luxembourg,0.355
Belize,0.481
Benin,0.552
Bhutan,0.488
Bosnia and Herzegovina,0.477
Botswana,0.463
Brazil,0.465
Bulgaria,0.422
Burkina Faso,0.679
Burundi,0.63
Cambodia,0.521
Cameroon,0.607
Canada,0.297
Central African Republic,0.684
Chad,0.687
Chile,0.438
China,0.449
Colombia,0.515
Congo,0.542
Congo DR,0.676
Costa Rica,0.405
Cote d'Ivoire,0.538
Croatia,0.402
Cuba,0.516
Cyprus,0.444
Czechoslovakia,0.349
Denmark,0.31
Djibouti,0.597
Dominican Republic,0.484
Ecuador,0.512
Egypt,0.558
El Salvador,0.495
Equatorial Guinea,0.533
Eritrea,0.671
Estonia,0.378
Ethiopia PDR,0.678
Faroe Islands,0.307
Fiji,0.488
Finland,0.295
France,0.34
French Polynesia,0.341
Gabon,0.538
Gambia,0.533
Georgia,0.513
Germany,0.303
Ghana,0.504
Greece,0.431
Guadeloupe,0.341
Guatemala,0.512
Guinea,0.587
Guinea-Bissau,0.596
Guyana,0.534
Haiti,0.651
Honduras,0.524
Hong Kong,0.344
Hungary,0.368
Iceland,0.321
India,0.531
Indonesia,0.504
Iraq,0.703
Ireland,0.307
Israel,0.506
Italy,0.365
Jamaica,0.471
Japan,0.317
Jordan,0.505
Kazakhstan,0.487
Kenya,0.562
Kuwait,0.448
Kyrgyzstan,0.537
Lao,0.487
Latvia,0.394
Lebanon,0.601
Lesotho,0.58
Liberia,0.555
Libya,0.685
Lithuania,0.399
Madagascar,0.597
Malawi,0.543
Malaysia,0.396
Mali,0.716
Martinique,0.341
Mauritania,0.616
Mauritius,0.46
Mexico,0.512
Moldova,0.537
Mongolia,0.492
Montenegro,0.455
Morocco,0.52
Mozambique,0.607
Myanmar,0.689
Namibia,0.517
Nepal,0.573
Netherlands,0.315
New Caledonia,0.341
New Zealand,0.282
Nicaragua,0.511
Niger,0.706
Nigeria,0.62
North Korea,0.527
North Macedonia,0.48
Norway,0.281
Oman,0.457
Pakistan,0.657
Panama,0.432
Papua New Guinea,0.574
Paraguay,0.459
Peru,0.525
Philippines,0.512
Poland,0.361
Portugal,0.367
Puerto Rico,0.365
Qatar,0.387
Romania,0.437
Russian Federation,0.531
Rwanda,0.534
Saudi Arabia,0.491
Senegal,0.559
Serbia,0.48
Sierra Leone,0.606
Singapore,0.283
Slovenia,0.356
Somalia,0.769
South Africa,0.474
South Korea,0.361
Spain,0.372
Sri Lanka,0.554
Sudan,0.724
Suriname,0.489
Sweden,0.295
Switzerland,0.258
Syria,0.708
Taiwan,0.36
Tajikistan,0.55
Thailand,0.477
Timor-Leste,0.602
Togo,0.58
Trinidad and Tobago,0.476
Tunisia,0.536
Turkey,0.499
Turkmenistan,0.531
Uganda,0.555
Ukraine,0.552
United Arab Emirates,0.377
United Kingdom,0.311
United States,0.364
Uruguay,0.42
Uzbekistan,0.516
Vietnam,0.482
Yemen,0.727
Zambia,0.522
Zimbabwe,0.609
